City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Eureka,US,40.8,-124.16,66.99,6,10,5.99,clear sky,0.0,0.0
1,Upernavik,GL,72.79,-56.15,44.26,68,50,8.34,scattered clouds,0.0,0.0
2,Hasaki,JP,35.73,140.83,82.0,83,75,11.41,broken clouds,0.0,0.0
3,Ushuaia,AR,-54.8,-68.3,41.0,65,75,18.34,shower rain,0.0,0.0
4,Khatanga,RU,71.97,102.5,52.79,64,57,16.62,broken clouds,0.0,0.0
5,Punta Arenas,CL,-53.15,-70.92,33.8,80,75,8.05,broken clouds,0.0,0.0
6,Port Alfred,ZA,-33.59,26.89,53.01,85,62,5.01,broken clouds,0.0,0.0
7,Atuona,PF,-9.8,-139.03,79.54,76,8,12.26,clear sky,0.0,0.0
8,Hobart,AU,-42.88,147.33,39.2,80,40,11.41,scattered clouds,0.0,0.0
9,Rikitea,PF,-23.12,-134.97,69.67,78,94,13.85,overcast clouds,0.0,0.0
10,Cape Town,ZA,-33.93,18.42,55.0,87,0,4.7,clear sky,0.0,0.0
11,Raudeberg,NO,61.99,5.14,48.0,91,100,5.08,light rain,0.27,0.0
12,Mataura,NZ,-46.19,168.86,39.0,83,92,3.0,light rain,0.39,0.0
13,Ukiah,US,39.15,-123.21,86.0,25,1,12.75,clear sky,0.0,0.0
14,Bredasdorp,ZA,-34.53,20.04,39.2,93,0,4.7,clear sky,0.0,0.0
15,Bilma,NE,18.69,12.92,88.65,24,2,14.12,clear sky,0.0,0.0
16,Busselton,AU,-33.65,115.33,44.01,98,55,10.49,broken clouds,0.0,0.0
17,Hilo,US,19.73,-155.09,84.2,62,1,12.75,clear sky,0.0,0.0
18,Qaanaaq,GL,77.48,-69.36,47.28,55,0,1.07,clear sky,0.0,0.0
19,Umea,SE,63.83,20.26,53.6,100,90,6.93,moderate rain,0.0,0.0
20,Karratha,AU,-20.74,116.85,66.11,27,66,11.63,broken clouds,0.0,0.0
21,Basse,DE,52.55,9.51,57.0,76,99,5.82,overcast clouds,0.0,0.0
22,Pryazha,RU,61.69,33.62,53.6,93,100,2.24,overcast clouds,0.0,0.0
23,Jamestown,US,42.1,-79.24,81.0,74,1,4.7,clear sky,0.0,0.0
24,Kruisfontein,ZA,-34.0,24.73,46.17,85,0,5.7,clear sky,0.0,0.0
25,Thompson,CA,55.74,-97.86,77.0,33,40,13.87,scattered clouds,0.0,0.0
26,Ribeira Grande,PT,38.52,-28.7,69.73,85,24,2.04,few clouds,0.0,0.0
27,Lahaina,US,20.88,-156.68,84.2,51,40,12.75,scattered clouds,0.0,0.0
28,Mishan,CN,45.55,131.88,62.42,86,26,8.88,light rain,0.14,0.0
29,Mehamn,NO,71.04,27.85,47.8,82,47,6.58,scattered clouds,0.0,0.0
30,Avarua,CK,-21.21,-159.78,77.0,65,73,19.46,light rain,0.11,0.0
31,Fairbanks,US,64.84,-147.72,75.99,43,1,9.17,clear sky,0.0,0.0
32,Nadym,RU,65.53,72.52,67.86,65,83,11.07,broken clouds,0.0,0.0
33,Kaitangata,NZ,-46.28,169.85,42.01,80,91,17.0,light rain,0.61,0.0
34,Quang Ngai,VN,15.12,108.8,81.46,71,53,3.44,broken clouds,0.0,0.0
35,Vaini,TO,-21.2,-175.2,73.4,100,90,9.17,light rain,0.0,0.0
36,Touros,BR,-5.2,-35.46,73.4,94,0,4.7,clear sky,0.0,0.0
37,Alice Springs,AU,-23.7,133.88,52.0,60,0,6.89,clear sky,0.0,0.0
38,Namibe,AO,-15.2,12.15,64.36,77,0,2.84,clear sky,0.0,0.0
39,Adwa,ET,14.16,38.9,65.25,76,72,1.36,light rain,0.18,0.0
40,Sola,VU,-13.88,167.55,79.34,85,98,24.72,light rain,0.47,0.0
41,Russell,US,32.35,-85.2,84.2,78,75,3.36,broken clouds,0.0,0.0
42,Pevek,RU,69.7,170.31,43.95,74,54,4.97,broken clouds,0.0,0.0
43,Guangyuan,CN,32.44,105.82,66.99,91,23,3.0,few clouds,0.0,0.0
44,Barrow,US,71.29,-156.79,41.0,80,1,14.99,clear sky,0.0,0.0
45,Carnarvon,AU,-24.87,113.63,53.6,87,0,10.29,clear sky,0.0,0.0
46,Tuktoyaktuk,CA,69.45,-133.04,37.4,86,90,9.17,overcast clouds,0.0,0.0
47,Ordzhonikidze,KZ,52.44,61.74,67.73,79,21,5.41,few clouds,0.0,0.0
48,Sitka,US,57.05,-135.33,55.4,82,75,8.05,broken clouds,0.0,0.0
49,Sao Joao Da Barra,BR,-21.64,-41.05,71.69,87,0,14.23,clear sky,0.0,0.0
50,Mar Del Plata,AR,-38.0,-57.56,45.0,70,75,4.7,broken clouds,0.0,0.0
51,Kapaa,US,22.08,-159.32,84.2,70,40,12.75,scattered clouds,0.0,0.0
52,Lillooet,CA,50.69,-121.94,66.2,48,75,20.8,broken clouds,0.0,0.0
53,Batagay,RU,67.63,134.63,53.06,78,99,5.06,light rain,0.11,0.0
54,Amqui,CA,48.46,-67.43,71.01,93,90,6.93,light rain,0.0,0.0
55,Albany,US,42.6,-73.97,80.01,76,9,1.01,clear sky,0.0,0.0
56,Cidreira,BR,-30.18,-50.21,59.2,95,100,22.5,heavy intensity rain,8.7,0.0
