City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Hasaki,JP,84.2,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
7,Atuona,PF,79.97,clear sky,-9.8,-139.03,Villa Enata
15,Bilma,NE,84.94,broken clouds,18.69,12.92,Expeditions Ténére voyages
17,Hilo,US,80.6,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
20,Karratha,AU,78.73,clear sky,-20.74,116.85,ibis Styles Karratha
27,Lahaina,US,82.0,light intensity drizzle,20.88,-156.68,Lahaina Shores Beach Resort
35,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
40,Sola,VU,80.6,overcast clouds,-13.88,167.55,Leumerus Bungalows
41,Russell,US,78.8,broken clouds,32.35,-85.2,Macs
43,Guangyuan,CN,84.99,scattered clouds,32.44,105.82,Guangyuan Poetry Hotel
51,Kapaa,US,82.4,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
58,Namatanai,PG,83.39,moderate rain,-3.67,152.43,Namatanai Hotel
68,Buraydah,SA,86.0,clear sky,26.33,43.98,Mövenpick Hotel Qassim
76,Ulety,RU,79.05,clear sky,51.36,112.48,
77,Hithadhoo,MV,84.16,overcast clouds,-0.6,73.08,Scoop Guest House
78,Port Moresby,PG,84.2,haze,-9.44,147.18,Lamana Hotel
94,Taloqan,AF,85.17,clear sky,36.74,69.53,گل خانه حاجی محمدامین خلیلی
97,Vostok,RU,78.08,broken clouds,46.49,135.88,
98,Padang,ID,85.78,scattered clouds,-0.95,100.35,Mercure Padang
99,Riyadh,SA,87.8,clear sky,24.69,46.72,InterContinental Riyadh
105,Acapulco,MX,80.87,moderate rain,16.86,-99.89,HS Hotsson Smart Acapulco
115,Butte,US,87.8,clear sky,39.65,-121.57,Lime Saddle Campground
120,Kavaratti,IN,83.86,light rain,10.57,72.64,Bismillah Hotel And Lodging
124,Batticaloa,LK,83.82,broken clouds,7.71,81.69,Grand Star Guest House
125,Salalah,OM,82.4,overcast clouds,17.02,54.09,HAMDAN PLAZA HOTEL
127,Marawi,PH,82.99,light rain,8.0,124.29,Derogongan Residence
132,Sabang,ID,83.66,light rain,5.89,95.32,Hotel Citra
