City_ID,City,Country,Date,Humidity,Lat,Lng,Max Temp,Cloudiness,Wind Speed
0,Thompson,CA,2020-07-06 22:36:30,82,55.74,-97.86,66.2,75,10.29
1,Tuatapere,NZ,2020-07-06 22:36:30,76,-46.13,167.68,46.09,63,8.28
2,Albany,US,2020-07-06 22:35:24,47,42.6,-73.97,86.0,9,4.99
3,Geraldton,AU,2020-07-06 22:36:31,87,-28.77,114.6,55.4,28,11.41
4,East London,ZA,2020-07-06 22:35:09,22,-33.02,27.91,72.16,0,9.55
5,Kahului,US,2020-07-06 22:32:09,48,20.89,-156.47,87.8,20,26.4
6,Dingle,PH,2020-07-06 22:36:31,83,11.0,122.67,80.46,36,7.36
7,Bluff,NZ,2020-07-06 22:36:31,71,-46.6,168.33,47.41,97,15.46
8,Necochea,AR,2020-07-06 22:36:31,87,-38.55,-58.74,43.0,80,5.28
9,Saint-Alexandre,FR,2020-07-06 22:36:32,35,44.23,4.62,71.6,0,24.16
10,Hilo,US,2020-07-06 22:36:32,54,19.73,-155.09,84.2,1,9.17
11,Olenino,RU,2020-07-06 22:36:32,96,56.21,33.49,63.27,1,7.07
12,Mandalgovi,MN,2020-07-06 22:36:32,41,45.76,106.27,67.6,63,8.46
13,Port Lincoln,AU,2020-07-06 22:36:32,80,-34.73,135.87,51.44,5,12.68
14,Jamestown,US,2020-07-06 22:36:32,51,42.1,-79.24,82.99,75,10.29
15,Ponta Do Sol,PT,2020-07-06 22:36:33,83,32.67,-17.1,71.6,20,9.17
16,Cabedelo,BR,2020-07-06 22:36:33,88,-6.98,-34.83,75.2,25,8.05
17,Port Macquarie,AU,2020-07-06 22:36:33,90,-31.43,152.92,51.01,1,1.01
18,Port Alfred,ZA,2020-07-06 22:36:33,69,-33.59,26.89,64.99,0,5.99
19,Ushuaia,AR,2020-07-06 22:34:18,74,-54.8,-68.3,33.8,6,13.87
20,Atuona,PF,2020-07-06 22:36:33,75,-9.8,-139.03,79.56,25,13.38
21,Kodiak,US,2020-07-06 22:36:33,87,57.79,-152.41,55.4,90,10.29
22,Camabatela,AO,2020-07-06 22:36:34,71,-8.19,15.38,56.71,94,2.13
23,Anadyr,RU,2020-07-06 22:36:34,87,64.75,177.48,48.2,75,4.47
24,Kapaa,US,2020-07-06 22:36:34,70,22.08,-159.32,84.2,40,11.41
25,Antalaha,MG,2020-07-06 22:36:34,91,-14.9,50.28,71.29,100,11.88
26,Majene,ID,2020-07-06 22:36:34,86,-3.54,118.97,77.86,83,14.23
27,Touros,BR,2020-07-06 22:36:21,94,-5.2,-35.46,73.4,75,3.36
28,Portland,US,2020-07-06 22:32:58,56,45.52,-122.68,68.0,75,9.17
29,Abha,SA,2020-07-06 22:36:35,60,18.22,42.51,73.4,97,1.01
30,Tayzhina,RU,2020-07-06 22:36:35,98,53.67,87.44,57.56,79,4.5
31,Bafilo,TG,2020-07-06 22:36:35,94,9.35,1.27,77.0,78,2.24
32,Cape Town,ZA,2020-07-06 22:36:35,93,-33.93,18.42,57.99,75,18.34
33,Qaanaaq,GL,2020-07-06 22:36:35,55,77.48,-69.36,46.38,0,2.13
34,Rikitea,PF,2020-07-06 22:36:35,82,-23.12,-134.97,74.17,97,11.25
35,Mataura,NZ,2020-07-06 22:36:35,91,-46.19,168.86,43.45,98,6.76
36,Katherine,AU,2020-07-06 22:36:36,50,-14.47,132.27,55.4,0,6.93
37,Hithadhoo,MV,2020-07-06 22:36:36,78,-0.6,73.08,83.55,74,20.11
38,Saint-Esteve,FR,2020-07-06 22:36:36,49,42.71,2.84,73.99,19,17.22
39,Vagur,FO,2020-07-06 22:36:36,81,61.47,-6.81,48.47,12,20.15
40,Tuktoyaktuk,CA,2020-07-06 22:36:36,81,69.45,-133.04,44.6,90,12.75
41,Havelock,US,2020-07-06 22:36:37,62,34.88,-76.9,86.0,20,9.17
42,Mahebourg,MU,2020-07-06 22:36:37,94,-20.41,57.7,73.4,75,5.82
43,Chulym,RU,2020-07-06 22:36:37,95,55.1,80.96,56.61,29,5.57
44,Hammerfest,NO,2020-07-06 22:36:37,100,70.66,23.68,44.6,75,21.92
45,Dunedin,NZ,2020-07-06 22:36:38,86,-45.87,170.5,46.0,100,7.0
46,Vesyegonsk,RU,2020-07-06 22:36:38,97,58.66,37.26,64.09,44,3.18
47,Tayshet,RU,2020-07-06 22:36:38,94,55.93,98.0,64.18,65,3.85
48,Turukhansk,RU,2020-07-06 22:36:38,96,65.82,87.98,58.93,99,0.58
49,Lorengau,PG,2020-07-06 22:36:38,71,-2.02,147.27,84.87,96,11.92
50,Taltal,CL,2020-07-06 22:36:38,83,-25.4,-70.48,53.24,45,3.06
51,Victoria,HK,2020-07-06 22:31:56,83,22.29,114.16,82.99,99,5.01
52,Grindavik,IS,2020-07-06 22:36:39,81,63.84,-22.43,51.8,75,11.41
53,Vardo,NO,2020-07-06 22:36:39,87,70.37,31.11,48.2,75,11.41
54,Barrow,US,2020-07-06 22:36:39,86,71.29,-156.79,37.4,90,20.8
55,Khatanga,RU,2020-07-06 22:36:39,74,71.97,102.5,46.24,99,14.74
56,Bengkulu,ID,2020-07-06 22:36:39,85,-3.8,102.27,75.69,79,5.1
57,Kuching,MY,2020-07-06 22:32:41,100,1.55,110.33,77.0,40,5.19
58,Sorland,NO,2020-07-06 22:36:39,82,67.67,12.69,49.06,100,19.1
59,Lavrentiya,RU,2020-07-06 22:36:40,73,65.58,-171.0,50.83,80,10.42
60,Gusev,RU,2020-07-06 22:36:40,88,54.59,22.2,52.59,83,5.7
61,Georgetown,MY,2020-07-06 22:32:21,94,5.41,100.34,80.6,40,5.53
62,Pudozh,RU,2020-07-06 22:33:04,94,61.81,36.53,55.35,51,5.5
63,Turtas,RU,2020-07-06 22:36:40,92,58.94,69.13,59.16,59,2.13
